Time,S_H1,S_H2,S_H3,S_H4,S_A,E_H1,E_H2,E_H3,E_H4,E_A,I1_H1,I1_H2,I1_H3,I1_H4,I1_A,I2_H1,I2_H2,I2_H3,I2_H4,I2_A,R_H1,R_H2,R_H3,R_H4,R_A,P_V,S_V,G_V,E1_V,E2_V,E3_V,I_V
2042.26952568259,116609.183281465,0,0,10587.3762740385,127205.442797,0.0664848938100056,0,0,0.0527246890043809,0,2.14937361868892,0,0,2.15981797989412,0,1.06193814979561,0,0,1.21631018309719,0,1.22364432912073,0,0,0.952947653429981,0,137387.178447543,10510.2551404187,116699.927420478,0.0378169867485516,0.0292862391397748,0.0226852333803616,0.0780650354835999
2042.27621410784,116609.188300538,0,0,10587.3801378118,127205.442797,0.0664229290583953,0,0,0.0526751578964713,0,2.15029870891711,0,0,2.15789327539115,0,1.06223739408194,0,0,1.21525154641018,0,1.21746288592329,0,0,0.952116752446775,0,137387.178447543,10514.0526788601,116696.130021441,0.0377836062331239,0.0292662359453511,0.0226672417515516,0.0779970073035454
2042.2829025331,116609.193240794,0,0,10587.3839981771,127205.442797,0.0663617841826003,0,0,0.0526263525043105,0,2.15120592340936,0,0,2.1559698443615,0,1.0625381554783,0,0,1.21419362293811,0,1.21137579890056,0,0,0.951286547038414,0,137387.178447543,10516.4217154924,116693.761122262,0.0377520074445714,0.0292454370584271,0.0226495939287319,0.0779295986761757
2042.28984041228,116609.198283258,0,0,10587.3879987379,127205.442797,0.0662993348003212,0,0,0.0525765645712436,0,2.15212832933723,0,0,2.15397613487514,0,1.06285163507219,0,0,1.2130969962188,0,1.20515989876879,0,0,0.950426110413966,0,137387.178447543,10509.5976009096,116700.585370693,0.0377308135319928,0.0292187348410682,0.0226335472050957,0.0778596932963679
2042.29677829146,116609.203243757,0,0,10587.3919955237,127205.442797,0.0662375696590474,0,0,0.0525273732293659,0,2.15303209067559,0,0,2.15198409300468,0,1.06316653958872,0,0,1.21200113691814,0,1.19904249908288,0,0,0.949566417110584,0,137387.178447543,10507.3411618458,116702.841946898,0.0377039200170119,0.0291945453925242,0.0226163824076543,0.0777908001399527
2042.30371617065,116609.208123748,0,0,10587.3959885148,127205.442797,0.0661763474710145,0,0,0.0524786566418851,0,2.15391750119211,0,0,2.14999386181534,0,1.06348276679924,0,0,1.21090604596,0,1.19302209317336,0,0,0.948707464805848,0,137387.178447543,10514.8313638696,116695.351889828,0.0376648766467703,0.0291757232901349,0.0225968382764937,0.0777232557317281
2042.31065404983,116609.212924411,0,0,10587.3999774913,127205.442797,0.0661158667285712,0,0,0.0524305632374931,0,2.15478476485259,0,0,2.14800551291885,0,1.06380021706571,0,0,1.20981172510486,0,1.18709719646367,0,0,0.947849251424596,0,137387.178447543,10519.3751264153,116690.808269118,0.0376295083578521,0.0291552774620869,0.022578007173579,0.0776560657042272
2042.31698040145,116609.217233774,0,0,10587.4036111904,127205.442797,0.0660615250957633,0,0,0.0523873743087766,0,2.15555993256677,0,0,2.1461941185055,0,1.06409066980352,0,0,1.20881453449181,0,1.18177655434086,0,0,0.94706732628684,0,137387.178447543,10510.5470219337,116699.636491269,0.0376134096730338,0.029129495192147,0.022563989425116,0.0775942946465811
2042.32330675306,116609.221479434,0,0,10587.4072415423,127205.442797,0.0660075834087862,0,0,0.0523445221613634,0,2.15632043609722,0,0,2.14438447926239,0,1.06438198544365,0,0,1.20781798771059,0,1.17653301703856,0,0,0.946286012537636,0,137387.178447543,10507.2982137621,116702.885421512,0.0375903729713481,0.0291067800162826,0.0225486139737803,0.0775333509883475
2042.32963310468,116609.225662471,0,0,10587.4108685656,127205.442797,0.0659539121026281,0,0,0.0523019007330535,0,2.15706647372385,0,0,2.14257668180014,0,1.06467409269428,0,0,1.20682208688732,0,1.17136550617922,0,0,0.945505308906686,0,137387.178447543,10514.9385932123,116695.245173131,0.0375538051414852,0.0290900491652957,0.0225305917867923,0.0774736021089917
