Year,ActiveM1,ActiveM2,PassiveM1,PassiveM2,DeathsM,PersonYrsM1,PersonYrsM2,NewInfM,NoInfHost,PerfectSpec
2015,101.641418742298,24.3540741269581,28.5729845005908,50.7966740217166,85.9318397708363,213.24117409402,68.7349473759516,224.532412058705,0,0
2016,76.3390882669477,16.8447968715315,25.6065660510617,45.4478441222995,76.8831667942639,191.102144932399,61.4971172244554,198.405285764986,0,0
2017,66.9326427203155,14.558806804706,22.988390118295,40.9229493242213,69.2284539302583,171.562508521942,55.3742844387432,176.119138418973,0,0
2018,60.0398685971364,12.8795021134907,20.6000177481324,36.762124618559,62.1896660369593,153.738025988635,49.7441161946253,156.659254614045,0,0
2019,53.8544442526278,11.3198772223271,18.4781658679844,33.0405871822629,55.8940207306167,137.902623431165,44.7083710042148,139.628218670589,0,0
2020,48.4411406503134,9.94219161674307,16.6018691799288,29.7399799677049,50.3104565083905,123.899810485426,40.242203469475,124.691787479493,0,0
2021,NaN,0,5521,3669,6212,37043.730589692,4256.10036965417,131371,0,0
2022,NaN,0,10539,17807,30097,73780.9114116099,22333.4318765033,44050,0,0
2023,NaN,0,9455,18280,31050,65442.3936033907,23104.1277669142,58971,0,0
2024,NaN,0,9393,18000,30414,65377.2566170894,22713.0921504759,60044,0,0
2025,NaN,0,9596,18187,30640,65377.0292198291,22775.6318765033,59935,0,0
2026,NaN,0,9578,17929,30581,65477.5881239387,22526.4263970512,60227,0,0
2027,NaN,0,9510,17942,30384,65728.9278499661,22429.2565340375,59977,0,0
2028,NaN,0,9555,17913,30391,65723.0401787332,22559.4784518457,59824,0,0
2029,NaN,0,9416,18117,30412,65834.1059321579,22590.5606436266,59877,0,0
2030,NaN,0,9479,17953,30554,65429.6648362675,22853.5798217087,59809,0,0
2031,NaN,0,9411,18122,30942,65283.9716855825,22796.2976299279,59987,0,0
2032,NaN,0,9485,17942,30163,65571.0100417469,22523.2236573252,60004,0,0
2033,NaN,0,9501,17868,30449,65668.9442883223,22613.2126984211,59719,0,0
2034,NaN,0,9370,17857,30862,65420.0346992812,22766.6291367772,59804,0,0
2035,NaN,0,9518,17916,30423,65421.0566170894,22587.5524244485,59918,0,0
2036,NaN,0,9407,18228,30418,65535.2977129798,22621.6318765033,60004,0,0
2037,NaN,0,9599,17995,30500,65449.2949732538,22700.3880408868,59887,0,0
2038,NaN,0,9240,17756,30441,65638.1799047606,22620.9962600649,60015,0,0
2039,NaN,0,9390,17938,30657,65551.9251102401,22799.3743422567,59621,0,0
2040,NaN,0,9298,17876,30828,65449.5360691442,22692.1770819827,59785,0,0
2041,NaN,0,9503,18000,30659,65544.4894938017,22565.5661230786,60030,0,0
2042,NaN,0,9295,18136,30639,65474.2401787332,22598.4866710238,60017,0,0
2043,NaN,0,9473,17967,30440,65694.4922335277,22544.8483148594,59913,0,0
2044,NaN,0,9470,17723,30728,65518.0730554455,22617.4565340375,59813,0,0
2045,NaN,0,9383,17877,30806,65334.5251102401,22633.8757121197,59973,0,0
2046,NaN,0,9515,17915,30564,65502.9059321579,22417.905849106,59959,0,0
2047,NaN,0,9429,18066,30254,65745.9305896921,22500.305849106,59729,0,0
2048,NaN,0,9419,17957,30337,65537.6730554455,22647.1825614348,59549,0,0
2049,NaN,0,9457,17881,30530,65523.7004527058,22709.2483148594,59783,0,0
2050,NaN,0,9434,17897,30315,65280.3668841921,22570.0708659202,59933,0,0
