name,LowerSens,UpperSens,MeanSens,LowerSpec,UpperSpec,MeanSpec,Algs
optimisticCATT_wb+CTC+QBC+CATT_16_Dilution ,0.754322126135792,0.939185864992525,0.862237316470751,0.997707646834813,0.998172130783168,0.997939882345258,Checce
optimisticCATT_wb+MaECT+CATT_16_Dilution ,0.749745969937462,0.9379455800924,0.858740638550784,0.997707725044497,0.998172230323154,0.99793997121796,Checce
optimisticCATT_wb+MaECT+MaECT_bc+CATT_16_Dilution ,0.758928588004309,0.939685424188408,0.864498754908121,0.997707646834813,0.998172130783168,0.997939882345258,Checce
optimisticCATT_wb+MaECT+QBC+CATT_16_Dilution ,0.756696070300488,0.939708392427299,0.863611916305231,0.997707646834813,0.998172130783168,0.997939882345258,Checce
optimisticCATT_wb+MaECT_bc+CATT_16_Dilution ,0.756901475398426,0.937654842891246,0.862579766701824,0.997707725044497,0.998172230323154,0.99793997121796,Checce
optimisticCATT_wb+MaECT_bc+QBC+CATT_16_Dilution ,0.758928588004309,0.939685424188408,0.864498754908121,0.997707646834813,0.998172130783168,0.997939882345258,Checce
optimisticCATT_wb+QBC+CATT_16_Dilution ,0.749745969937462,0.9379455800924,0.858740638550784,0.997707725044497,0.998172230323154,0.99793997121796,Checce
optimisticRDT1_SD+CTC+CATT_4_Dilution,0.791085542886432,0.932532303531579,0.866847025196032,0.998567926588281,0.998831155869943,0.998699538062158,Checce
optimisticRDT1_SD+CTC+MaECT+CATT_4_Dilution,0.792769159460567,0.932540312978995,0.867373770820283,0.998567894403187,0.998831102797406,0.998699495434387,Checce
optimisticRDT1_SD+CTC+MaECT_bc+CATT_4_Dilution,0.793309972342665,0.932540208621374,0.867469667292839,0.998567894403187,0.998831102797406,0.998699495434387,Checce
optimisticRDT1_SD+CTC+QBC+CATT_4_Dilution,0.792769159460567,0.932540312978995,0.867373770820283,0.998567894403187,0.998831102797406,0.998699495434387,Checce
optimisticRDT1_SD+MaECT+CATT_4_Dilution,0.792136863767032,0.932539048235781,0.867178809866704,0.998567926588281,0.998831155869943,0.998699538062158,Checce
optimisticRDT1_SD+MaECT+MaECT_bc+CATT_4_Dilution,0.7934056425428,0.932540822389456,0.86749985969787,0.998567894403187,0.998831102797406,0.998699495434387,Checce
optimisticRDT1_SD+MaECT+QBC+CATT_4_Dilution,0.793097171575314,0.932540845810627,0.867450413079209,0.998567894403187,0.998831102797406,0.998699495434387,Checce
optimisticRDT1_SD+MaECT_bc+CATT_4_Dilution,0.793125552765384,0.932538751765266,0.867392864492944,0.998567926588281,0.998831155869943,0.998699538062158,Checce
optimisticRDT1_SD+MaECT_bc+QBC+CATT_4_Dilution,0.7934056425428,0.932540822389456,0.86749985969787,0.998567894403187,0.998831102797406,0.998699495434387,Checce
optimisticRDT1_SD+QBC+CATT_4_Dilution,0.792136863767032,0.932539048235781,0.867178809866704,0.998567926588281,0.998831155869943,0.998699538062158,Checce
optimisticRDT1_SD+CTC+CATT_8_Dilution,0.786327259610049,0.926954177863104,0.861218319198208,0.998664798186101,0.998864771113251,0.998764784649676,Checce
optimisticRDT1_SD+CTC+MaECT+CATT_8_Dilution,0.791284575078335,0.932099641051185,0.866073539734786,0.99866473403338,0.998864706947684,0.998764720490532,Checce
optimisticRDT1_SD+CTC+MaECT_bc+CATT_8_Dilution,0.792876968564515,0.932032599185542,0.866957455047037,0.99866473403338,0.998864706947684,0.998764720490532,Checce
optimisticRDT1_SD+CTC+QBC+CATT_8_Dilution,0.791284575078335,0.932099641051185,0.866073539734786,0.99866473403338,0.998864706947684,0.998764720490532,Checce
optimisticRDT1_SD+MaECT+CATT_8_Dilution,0.789422815536262,0.931287139349958,0.864276508336576,0.998664798186101,0.998864771113251,0.998764784649676,Checce
optimisticRDT1_SD+MaECT+MaECT_bc+CATT_8_Dilution,0.7931586641538,0.932426898680846,0.867235750258628,0.99866473403338,0.998864706947684,0.998764720490532,Checce
optimisticRDT1_SD+MaECT+QBC+CATT_8_Dilution,0.792250388527314,0.932441945008647,0.866779981425749,0.99866473403338,0.998864706947684,0.998764720490532,Checce
